id,first_name,last_name,account_nr,amount,currency,comment
+8vPPeD2UaY=,Swiers,Monroe,HR42-2937-5704-5658-1811-6,201.0,USD,P96095
+8w5qIW9HK4=,Brideoke,Wilburt,FR14-3816-5863-43VC-J4V4-IWJQ-J23,297.0,VND,P98859
+9Wlay33Bsc=,Pren,Gilbertine,BR05-4788-3751-1297-6573-1184-248U-D,898.0,IDR,P93121
+9e792B4NvE=,Klain,Shanan,FR88-6962-2515-82GG-VVPH-3SA9-O34,509.0,RUB,P97632
+9x+aan+l6c=,Scarr,Gwenette,NO97-5651-9286-957,667.0,CNY,P93377
+AIxKtPoOV8=,Ronald,Desmund,MC32-4747-8561-54EW-GJXB-1DQB-G04,68.0,RUB,P91759
+AOcUSwAFKk=,Fomichyov,Audra,CR72-3267-8929-9936-4867-7,813.0,CAD,P89926
+AiVqlLJ2/o=,lockyer,carmine,IS27-1019-0906-0444-2065-2159-66,471.0,idr,p90745
+Bwq2n8vzzE=,Dubose,Sallie,KW43-NYBC-4GFV-AYIG-ROHO-NOUV-LCZ7-GP,858.0,RUB,P97468
+DPEei8Vd+Y=,Danniell,Reginauld,GB52-XRHC-1274-4326-5782-12,283.0,PHP,P97082
+DXkW1Eq3sA=,MacGebenay,Anders,FR76-5188-5694-799S-XKYM-GBCN-W87,463.0,CNY,P89581
+DzuixJezfo=,Dimitrov,Leroy,FR48-0326-1189-59FT-5HXR-8CWQ-274,655.0,PHP,P95063
+ESorTYf6b0=,Leeming,Charo,SE35-3643-3497-3926-8899-1741,119.0,COP,P90930
+EbDPoPzWeg=,MacConnal,Adler,GT89-FRPK-UW8L-OCYG-RTLO-EBVL-COGU,114.0,BRL,P89198
+EiVyFTh+vY=,Sambles,Codie,FR19-2312-9002-35GW-20YN-STX5-095,296.0,PHP,P91198
+EjbyUEWe/A=,Mikalski,Dallas,MC77-1309-6344-00KR-ZK5C-LJHH-W77,608.0,SEK,P91474
+EnxesXB8Tw=,Wingfield,Ashlan,GE86-YB13-9148-6294-0487-22,512.0,HRK,P89883
+Eo8/xRCaSQ=,Warboys,Shaun,FR89-2453-3416-81PO-JIPI-2JZK-057,152.0,CNY,P97671
+FewdkL49gg=,McInnes,Doloritas,LB43-3051-DTBF-SOKC-J805-PCRL-CJ3B,236.0,IDR,P91874
+H+YvMJizMQ=,Toupe,Ulberto,GL40-6160-9667-3343-38,292.0,BYR,P98530
+H2vb08JWjE=,Meekins,Missie,MR90-5178-2435-4239-1711-0539-078,440.0,MAD,P96049
+HB5TtTchss=,Ferney,Cherise,FR97-3683-1415-807E-FJLI-OBDK-W18,604.0,EUR,P90962
+HFaXsUdV5U=,Rosettini,Jayme,AE60-0048-5158-1090-8024-169,478.0,CZK,P94059
+HHInclmH6E=,Farrant,Eziechiele,BE13-9598-1268-0595,145.0,MXN,P92532
+Hgh/GNfmoI=,Vanyashkin,Fannie,CY55-4629-3747-YCPY-LND9-NOLH-OE64,151.0,MNT,P92575
+IXlG3QJzRM=,Bardsley,Fredric,MR53-5088-4845-6906-1686-2905-462,28.0,PHP,P92847
+IeG4tiukmM=,Micklem,Danny,LT97-7765-4908-5887-5795,394.0,IDR,P91525
+JjhI2ffbYk=,Matiasek,Ber,GL30-1744-3998-0606-61,904.0,CNY,P90192
+Kg4Ohzl/8E=,Skullet,Gaultiero,FR63-4206-1481-86UZ-CTGZ-THHW-A66,340.0,PEN,P92959
+LdIX8E4iMY=,Whitlam,Crysta,CH92-0348-0IDW-LNIY-EABY-B,351.0,CNY,P91385
+LytX7o5qzM=,Littrick,Adair,GE69-AV34-0858-1393-9543-96,404.0,CNY,P89152
+M3EHmkSqvE=,Core,Tanitansy,FR72-7455-4961-25KV-LHB3-ZE86-V09,137.0,CNY,P98160
+MQ84D/6FTM=,egleton,effie,CR72-3267-8929-9936-4867-7,71.0,eur,p92133
+Mf7GXD0CEo=,Pierro,Gayle,IE80-NEDH-5347-9692-8044-11,96.0,CNY,P92978
+Ml8syiVonI=,Nutt,Atalanta,LV86-JPSM-7OKZ-L6RV-MCB9-X,810.0,USD,P89900
+MzuJM3A29A=,Earney,Joanie,NL17-ONSI-9057-4870-83,537.0,SEK,P94227
+Ncr3R7FAI4=,Ashness,Arabele,ME59-4015-8146-0719-1228-81,204.0,EUR,P89755
+Nr/dwOKMC0=,Spileman,Danni,LI96-4853-8K9G-CAHP-IEBM-7,823.0,CNY,P91520
+NymGU2bJFM=,Juschke,Rosemary,RS55-2607-8356-3309-1920-33,250.0,IDR,P97333
+Ol0ZNchpc4=,Parry,Shoshanna,IT51-A839-2081-890A-TRZX-GUIY-Q4D,826.0,USD,P97792
+Oz4RDSGf4U=,Novelli,Den,LV07-UBSF-VBNO-8K59-AIEP-W,146.0,SEK,P91705
+PA0UE4UJlI=,Hacquel,Sheri,LU14-1533-CK6I-9GFF-QCPN,190.0,PLN,P97750
+PXekd43pbw=,Petett,Abram,GI40-IXEQ-LIN7-OO7A-2H60-0OS,53.0,EUR,P89143
+Q6pKrD77Uk=,Fullard,Jsandye,HU33-9143-5726-2332-9126-1980-0173,848.0,CZK,P94353
+QrISiLPcG4=,Mullis,Cherin,DE02-1383-8674-3489-4200-85,421.0,CNY,P90959
+RozQYMr2ag=,Wherrit,Patsy,HU41-8627-0561-5413-1295-3467-2342,566.0,RUB,P96704
+RwXzzMfDNk=,Skates,Carce,FR15-1609-1816-07ED-YZ6A-C9NR-B01,302.0,CVE,P90695
+SvyygjN07s=,Paget,Tailor,CR64-8973-1970-7499-3417-4,905.0,CNY,product
+T/8oUdH29M=,Corssen,Omar,FR12-0620-2091-98YN-SW8U-CZNB-O42,6.0,PLN,P96574
+TXnGAROofM=,Mandres,Christa,MC77-2012-1594-53NP-NCDA-QFW9-B50,190.0,COP,P90998
+Tgsw26xGu4=,CHAUDRELLE,MARCELIA,FR17-2459-3848-00ET-MVCN-JOIG-G88,772.0,PYG,P95550
+U/XFS2pVVU=,Goring,Violante,LT42-2236-7160-9573-8382,401.0,CNY,P98684
+UfEjqSx9Qk=,Grist,Felice,FR78-3075-6416-23VN-MRNI-OIT6-B84,589.0,IDR,P92623
+VEa0AQQW3I=,Morstatt,Fawnia,MR70-0247-8350-3001-3518-7936-866,718.0,EUR,P92606
+VHj2aYF26o=,Attaway,Gussi,AE42-9287-0639-8600-9176-822,937.0,RUB,P93356
+Vz7E7jTPZ4=,Nanelli,Deni,CR64-8973-1970-7499-3417-4,157.0,IDR,P91714
+VzUOjh8RIg=,Jex,Yorke,ME32-2685-3049-9025-2214-82,11.0,IDR,P99012
+W+uoJQgoSY=,Smieton,Eba,NO97-5651-9286-957,133.0,CNY,P92071
+WhG+A906Ek=,Southorn,Lyndell,LI96-4853-8K9G-CAHP-IEBM-7,120.0,EUR,P95401
+WqaMxbuWz4=,Recher,Cosme,MT30-PQYI-3614-9JXY-MUUK-IDQ9-BSDV-JUD,559.0,PHP,P91341
+Ww5gwXwae4=,Crosseland,Jane,FR11-8628-7246-222D-LKRH-VFVD-225,974.0,CRC,P93985
+X8fNdh/Tug=,Irvine,Shandee,FI46-9950-7151-6192-29,82.0,EUR,P97635
+XDMOOYv/RU=,Fronczak,Andris,SI40-5965-1249-4386-816,338.0,PLN,P89608
+XjX+zoNxvw=,Chamley,Hurleigh,LV26-RIOP-L8DR-RQWD-EUSP-H,986.0,IDR,P93730
+Xmi0fQ4H4Y=,Splevins,Aurelea,MU81-WFSA-5238-2526-4325-7049-422B-MY,785.0,SEK,P89946
+XyxhuvL0To=,Ladel,Joelie,VG94-IELZ-3964-9894-0831-7648,116.0,PLN,Multi-layered
+YJvdlF/Jh4=,Caine,Launce,LT70-0241-2227-5445-3772,592.0,THB,P94921
+YUq0Jl1xtE=,Ranklin,Wainwright,MC76-3703-2342-29VY-KYK6-UEYB-F81,687.0,CNY,P98739
+Z54MxS7V2k=,Flobert,Raffarty,IS06-2697-3262-8579-1576-6715-43,81.0,MAD,P96953
+ZGWSEysHYI=,Shayla,Caryl,DK45-7965-5551-0472-69,136.0,EUR,P90778
+ZVRM40Jf0Q=,Edinburgh,Ragnar,DE02-1383-8674-3489-4200-85,285.0,MKD,P96957
+Zom7shiXOw=,Liepmann,Bambie,AT52-9920-8697-3375-7537,335.0,IDR,P90022
+Zx19hUuT5o=,Langcastle,Myrvyn,FR62-1847-0954-06V4-0HWN-V1WN-I46,9.0,IDR,P96194
+a2NTrikNDg=,Gabrieli,Wylma,FR81-8182-6493-81VF-6AEF-AB9Y-Y37,875.0,VEF,P98953
+akexxK6t6M=,Rothwell,Eydie,MD14-48PT-VHRJ-WE6B-9MU9-IPFP,263.0,EUR,P92531
+bjCSNSMcNg=,Sansbury,Larissa,BR26-5065-7333-5332-9563-4887-133H-Q,612.0,ILS,P94912
+c5ssgwEW3Y=,Tweedy,Hinda,IE13-QVWL-7965-7090-0528-57,220.0,XOF,P93652
+c7MRg1CZXw=,McNaughton,Hewitt,CH23-3531-5NPI-HEJK-1QHX-D,837.0,RUB,P93614
+cC9mgGxMV0=,Lemmer,Kimberlee,LB93-1821-QXZV-HHUA-MT4V-7NAC-N7EQ,537.0,IDR,P94721
+cEtDLEvSY4=,Townsend,Daria,NL48-DVSZ-0161-1713-02,891.0,LAK,P91566
+cUBZfZEyCk=,Davidovits,Emilee,FR12-0620-2091-98YN-SW8U-CZNB-O42,269.0,CNY,P92297
+d/wuOEHsAc=,Dederick,Christalle,IL15-0677-2647-2499-7616-746,329.0,HUF,P91003
+dBscqHFodI=,Lorraway,Murray,CR73-2764-1660-5543-8568-0,915.0,PKR,P96167
+dlJyWC4H7A=,Lempke,Billye,NO22-4639-8181-819,217.0,USD,P90320
+dzQfgPd9U8=,Lusted,Mariejeanne,DK11-6571-0254-5713-52,741.0,UAH,P95617
+eOTcnGZ0Qs=,Blakeborough,Jerrilyn,LB70-9603-ANN4-PR20-DIG8-VR5E-K2PX,722.0,BRL,P94178
+eRpMIhO5Yo=,WOGDON,WALLY,NO28-4147-7860-591,615.0,VND,P98764
+eRuwZk+d0c=,Tinwell,Kermy,MT14-JQNJ-0335-3OAB-W7DM-ARKQ-E1DD-OES,404.0,BRL,P94677
+f0mwvkK0A4=,Hexter,Humfrid,SM40-W624-3640-300T-ZZ0Y-S7IZ-PX4,595.0,CNY,P93718
+f2dPsbS4uU=,McCrie,Al,GI49-HTYE-C0KP-N5H0-STAT-SLE,576.0,PHP,P89292
+fdGXXNLKxw=,Beacham,Billie,CR50-6700-4102-3981-8994-1,270.0,RUB,P90316
+fqdXXSOoDo=,Sallowaye,Carolyn,PS03-OFHB-R5CP-FD3N-9SGE-HLJG-RCLB-M,802.0,MKD,P90757
+fxM1MD2WSA=,Coop,Desiri,FR10-3571-0458-87DL-Q9AH-FOKV-C24,220.0,CUP,P91756
+goNfKOmVVw=,Crowth,Pauly,TN81-2222-3737-1698-8369-7756,998.0,SHP,P96729
+gpMjbZsf84=,Cranstone,Laurianne,GL21-4543-8718-4586-45,894.0,USD,P94941
+gtjbYauk54=,Asken,Weidar,TR66-0643-33OB-JYV4-US01-QSXA-VQ,333.0,PHP,P98811
+hPM81IO/u0=,Sooper,Kaitlynn,MU07-YLMF-9966-7683-7635-2334-552N-DM,644.0,PHP,P94431
+hr2uhHWYfU=,domney,filmore,FR03-1982-9979-75F8-IV8T-KXW8-Q55,433.0,idr,p92691
+iJN3BcdCn4=,Flemyng,Rosetta,KW94-VDBB-TDGY-UMFH-YKOH-TYFR-P7US-TH,961.0,THB,P97337
+ibF6cxFlC0=,Matysiak,Ambrosi,LV74-KQUK-VZ9F-FYII-ZVTV-J,694.0,IDR,P89534
+k18T0UicMs=,Salter,Lorinda,FR53-2374-8856-44F7-HS9G-6O4S-W90,464.0,UAH,P95289
+k5UdMpEhYU=,Quoit,Jamey,MK77-833F-OGVV-NKTP-L50,228.0,EUR,P93968
+kFOxgcGbAI=,Eaves,Janelle,LT94-0284-3327-3894-1418,286.0,PHP,P93994
+lK3BPI4Wh4=,Oglethorpe,Juline,RO21-FXZV-KNGZ-MKAF-T3TZ-O97G,284.0,PLN,P94393
+lldiT+Xs/E=,Brammar,Tanney,CZ48-9732-3843-2310-9522-3969,401.0,SEK,P98166
+mBmYyh+9sg=,Lezemere,Kip,RO24-SRXN-O6MO-WVGO-CWIQ-BV0H,392.0,CNY,P94754
+mToBojSZRI=,Soeiro,Willetta,FR76-8702-5812-127A-7JPU-O5LR-H89,121.0,NPR,P98879
+mwmsJWi4SE=,Connachan,Mady,GB48-VFHE-7997-8483-8780-30,41.0,PEN,P95468
+nM8/Kt4dKw=,Prandi,Venus,DK72-3332-1742-7198-29,840.0,CNY,P98618
+nRV6USOMTs=,Ellicock,Bonny,LV74-KQUK-VZ9F-FYII-ZVTV-J,204.0,CNY,P90401
+nRvp/f2bOo=,bucksey,karisa,MC12-1710-8487-99FL-SXUZ-0QA2-W94,237.0,php,p94498
+nikn2WEjEc=,Hallowes,Maxine,LB89-4536-WSRI-ZSAS-HPSQ-KLBM-PYS7,476.0,IDR,P95814
+oMCQ/pRIM8=,Bank,Mathian,RO90-SHWR-GB5F-ES5L-MOPP-ESKN,910.0,BYR,P95760
+pc+DQSKJjU=,Redgewell,Verena,AL14-4196-0814-WEIJ-B5YV-6RTA-BFUW,243.0,RUB,P98621
+psvgUgQwEc=,Geharke,Mickey,FR11-4902-0157-81Z7-KPCC-VDLW-973,347.0,KES,P95975
+qCE2u7VFmA=,Timson,Sergei,ME28-2326-1777-2376-2346-94,644.0,IDR,P97610
+qu8lRVnF4k=,Blenkinship,Sara,AZ48-GGTO-KXS0-ID2J-WVQ8-O5RJ-PFVY,646.0,TZS,P97522
+r0vxQZUMN4=,Morigan,Zsa zsa,FR17-2459-3848-00ET-MVCN-JOIG-G88,923.0,BRL,P99097
+re8+NNztfk=,Trembley,Donny,KZ68-401S-UHV9-Y5JO-EHZL,661.0,IDR,P91912
+rpMSzIolQY=,Croasdale,Cory,LT70-0241-2227-5445-3772,201.0,EUR,P91335
+rz8baOdppU=,Devonside,Onofredo,HU75-8714-9135-7246-8072-2756-5922,975.0,IDR,P96578
+sK6oWP8+E8=,Heatherington,Guntar,FR76-3661-8795-37CM-XSGU-0GTR-521,604.0,IDR,P93347
+sPeSDbsFNk=,Gogerty,Bondy,SE23-5868-9682-4310-0023-7542,878.0,RUB,P90391
+tMMhrbY3xU=,Aldcorne,Allyce,MC96-0723-6486-83TO-YXCB-JGZK-711,111.0,CNY,P89449
+tUsJzpwxkk=,Demschke,Ardis,BR50-3252-1001-8273-7227-5482-943W-0,388.0,IDR,P89778
+tbjNBuImJM=,Ribchester,Shell,BH27-ASAU-BPM8-DGKJ-EFBL-IM,289.0,CNY,P97725
+thXshvDRZE=,Cockshutt,Sisely,LT94-0284-3327-3894-1418,404.0,SYP,P97874
+tr/mVNK84E=,Crewdson,Berenice,SE02-9185-0098-1607-9307-2954,617.0,PHP,P90193
+uQyTEEctrI=,pozzo,terrell,FR92-6754-1664-40HL-ZJWZ-X3CM-A44,485.0,eur,incremental
+uwxc3jk9+U=,DANKS,JANEVA,GT48-TYDC-BIOT-PMIT-VJ10-JNRH-PFZE,295.0,KRW,P94003
+vLJkMAdC/8=,Melmore,Dione,MD52-TT2F-QHGL-YPGG-YJMK-G9TA,84.0,CNY,P91843
+vQnZ8DXJCU=,Grigorushkin,Fannie,SI06-0109-3915-6261-762,677.0,CLP,P92573
+vojmX1UCKM=,Shiliton,Ky,SK06-5711-5634-9383-4512-8225,98.0,EUR,P94858
+w4TUR17u8A=,Hablet,Mitchael,VG37-EPAX-7849-8226-3310-5027,100.0,CNY,P96057
+w5f4kEOpvs=,Ornillos,Bryant,CH23-3531-5NPI-HEJK-1QHX-D,356.0,CNY,P90576
+wKDGyxBfNs=,radwell,clementia,IS23-1164-9168-7978-8345-1734-35,799.0,cny,p91135
+whBAWWRR+E=,Rulton,Prue,NO86-0591-5824-307,600.0,CNY,P96891
+x1gGH2z6so=,Lobell,Peyter,MR55-9166-5777-3035-1879-4344-445,578.0,CNY,P96792
+xoAZ7Bi6kg=,Hanaby,Avictor,AE96-0073-7483-1648-1556-663,943.0,JPY,P89974
+xv/tQUDMj8=,Lonergan,Artemas,GL64-7051-6958-3120-77,198.0,IDR,P89855
+yKBXUkLrlo=,Dell Casa,Vic,AZ18-HTLN-LLNC-JCZE-HMN3-AKF2-QHIF,251.4403338584953,CNY,P98641
+zDxlQdZkKg=,Molfino,Rev.Larine,SK69-2473-0293-7150-1480-1342,989.0,PHP,P94908
+zYQ++k2CmA=,Alfonzo,Ardith,KW18-WEZZ-VI92-99KI-IPLI-6NFZ-CPZX-SR,408.0,RUB,P89783
/+NxgrHSdi8=,McArthur,Bat,FR36-8684-3483-17XZ-J4DA-JDSI-411,313.0,IDR,P90104
/+eXlw8fCZU=,MENEGO,CLEMENS,LT97-7765-4908-5887-5795,872.5425160036631,CNY,P91130
/+hjRXMfsoI=,Dreinan,Hubey,KZ33-1920-HKHC-RW4C-QWPK,273.0,MAD,P93705
//Heob/2rmY=,Jovis,Leslie,VG74-NAVG-1723-9763-3184-7612,670.0,IDR,P95070
//MwFXaXnT0=,Moralas,Hale,NO73-9655-3726-849,424.0,JPY,P93406
/06rllrSK3o=,Ichabod,RICE,GB52-XRHC-1274-4326-5782-12,928.0,IDR,P97146
/0taU+mU6SQ=,Benck,Colan,GL30-1744-3998-0606-61,370.0,USD,P91203
/13HXfWXjgE=,Radclyffe,Dniren,AT85-8516-0294-1322-8799,68.0,UAH,P91855
/1EUB2STtN4=,Costell,Osmond,LT94-0284-3327-3894-1418,571.0,THB,P96616
/1SSOdaXWBY=,rugg,hildegaard,IE41-EFBB-9828-1161-2585-59,126.0,jpy,p93631
/1TVuKs6ASQ=,Eisig,Tabby,ES64-0885-2149-5724-3419-5323,911.0,TJS,P98092
/1U6Eb1h7XQ=,Di Nisco,Elmira,ME29-9516-1636-8147-7441-50,114.0,CNY,P92242
/1dgCbSSxpQ=,McTrustey,Elianore,BH37-SQQG-VOPB-OUFL-VLWC-U0,746.0,IDR,P92188
/1kEIDFAhys=,Eastment,Burt,FR12-9519-3175-62KA-JTQV-PENA-M67,374.0,IDR,P90616
/3Pec96X2lI=,Cackett,Anne-corinne,MD65-EULW-WASG-NPVR-INCU-URJP,402.0,IDR,P89688
/4GzfzlDItU=,Lake,Isidoro,FR32-9089-5147-77R9-TMON-NGJH-D49,714.0,CNY,P93885
/4JaDAiAcwQ=,Ferry,Sherrie,SK96-5520-2689-0509-1733-2843,100.0,PEN,P97767
/4OLhn8C8No=,Courtman,Phaedra,MT77-RXON-0789-6C9S-JDAH-NTGP-AQLT-BG3,996.0,HRK,P96797
/4PQ+fQg7K0=,Brimman,Esme,SI13-5024-7488-0765-343,408.0,ARS,P92429
/53ZdLFqWm0=,Lax,Adolpho,CR53-3464-5864-1419-3953-6,148.0,CNY,P89202
/5kWobxyv0o=,Treweela,Verge,CH23-3531-5NPI-HEJK-1QHX-D,316.0,TJS,P98623
/5qsLmE+NQ0=,RICHARDSSON,STEARNE,IS86-6058-1208-5415-9632-6832-37,54.0,EUR,P97976
/5y33S82r6o=,Colvine,Fielding,SE22-4551-1624-9834-8073-7140,467.0,IRR,P92672
/6YFPlZ8Obg=,Dunsford,Melisenda,FO42-9308-4274-2626-11,299.0,MXN,P95868
/71MToykqOs=,Tattoo,Margalit,CY77-7335-7258-LQZQ-3POH-ICTM-XZNL,648.0,BRL,P95581
/7gNzm/Ss1s=,Hiorn,Roz,CH79-4224-0URT-LWWI-VKSR-I,688.0,IDR,P97374
/7xWL5cKkik=,Averill,Alister,SM45-C378-8862-642S-NOBG-9CR1-RCV,308.0,BRL,P89425
/88qU79ZF20=,Adshad,Kristan,FR39-0294-4466-57JR-BWNA-L1OB-D02,999.0,SEK,P94818
/8Csv7zhFvI=,Daout,Lionel,AL27-8428-9540-XH33-NH2C-DPPI-GLZU,180.0,MXN,P95176
/8PQmmKREDU=,Richarson,Rhoda,KZ42-564V-VMIX-POSS-KXRB,164.94830621530224,EUR,P97135
/8p76LvYsf8=,Bucham,Vivyanne,BA57-6633-5879-5460-9674,770.0,BOB,P98725
/9J72Rm79Is=,Braybrook,Earl,IT73-V329-6612-556Y-MU1T-UWEP-MHQ,850.0,RUB,P92055
/9qPR6cqKoU=,commander,Honorable.bevan,GI53-XXIR-9E9W-UNJJ-GRCC-SHE,679.0,pln,p90284
/A4LWVbYBCc=,Cregeen,Augustus,MD39-ZICD-PVY6-HYC2-UOH7-M5S5,960.0,IDR,P89940
/A9t2G6w6pg=,Cawkill,Glennis,RS15-8162-4305-8920-6124-09,583.0,IDR,P93195
/AGuuuKuTMY=,Robilliard,Barnett,SE86-6608-5931-8352-7058-4808,534.0,EUR,P90059
/AP0kQVH89o=,Pepperell,Lorne,TR76-1731-2L0T-PWSK-2EFW-D8FZ-SE,609.0,IDR,P95294
/AU4rZVAu9E=,Strangman,Beverlie,BE92-0760-0248-8468,357.0,CNY,P90292
/CqSABKtV8g=,Copcutt,Liz,FR59-4101-6862-39DU-Z8RD-H16V-723,480.0,THB,P95205
/DIR2YRvVYw=,Breznovic,Stanwood,LT31-3727-0111-1390-0817,119.0,IDR,P97964
/FBBY/diZjM=,Brideaux,Cirillo,DE03-0097-8171-2802-9644-29,60.0,UAH,P91053
/G6lL6jBC2g=,Bage,Hilly,ME94-8059-3656-0541-2955-01,981.0,MMK,P93646
/G8YuR341F4=,Torpie,Tiena,IS15-7933-7243-5214-3583-7278-20,963.0,VND,P98317
/GKW/xTvrv0=,Francis,Olive,CY34-2185-7581-IHNK-EXIM-5OK4-RWHK,866.0,RUB,P96545
/I6dz2UGYGg=,Foggarty,Melisa,IE15-KOQV-2335-5390-2500-73,237.0,RUB,P95864
/I8Eiq1D5LQ=,Haggus,Morgen,PL76-6946-4257-4444-6709-6856-5535,285.0,KZT,P96113
/IANZJk5p8M=,Sydel,Lorelle,IL94-9295-4963-0095-4607-948,835.0,SEK,P95268
/IH/709Fp0U=,Densey,Em,RS55-2607-8356-3309-1920-33,322.0,EUR,P92281
/IPuqmsSwEo=,Onion,Mariele,MD53-MTDD-ISFZ-QCTK-J4GS-VRXF,960.0,MNT,P95620
/IQLCgCXKEo=,Petracchi,Jacqui,MT14-JQNJ-0335-3OAB-W7DM-ARKQ-E1DD-OES,652.0,IDR,P93948
/IbOZlQ7big=,ROSSBOROUGH,VALENTINA,TN41-5021-4518-2691-8312-7259,738.0,MYR,P98576
/J60amA8+Ys=,Borzoni,Lindie,SK98-9289-5356-3685-4139-9388,578.0,RUB,P95151
/JmE+zPMAGI=,Domenge,Jerri,ME69-9763-9141-8638-8332-70,209.0,EUR,P94172
/JwBhVMCubw=,Brogini,Dode,LT57-6672-2810-7418-2372,295.0,BRL,P91856
/JwDXaLESx4=,kilian,helenelizabeth,MU24-AVMC-0967-6678-7173-1914-882O-RC,384.0,php,p93544
/KHAiWoG4PI=,Tonry,Stavro,BH85-CQLT-CSQ4-SRNV-6SGE-F0,169.0,KRW,P97972
/LcfIzefCOI=,Hymans,Marne,SE43-7489-6823-3954-7814-2624,934.0,EUR,P95683
/LiFJfPAnf0=,Takos,Nikolas,FR11-8857-5036-58FB-RLA5-YLYQ-D54,545.0,PEN,P96409
/LsEo3xtDg4=,Bavridge,Esta,FR12-0620-2091-98YN-SW8U-CZNB-O42,593.0,PHP,P92438
/M07gHMf76c=,Sket,Walker,NO12-3996-1342-024,464.0,IDR,P98755
/Mo50y/4Cs0=,Wattingham,Rahal,SM08-O419-0517-9398-XEYR-FR6Y-CHH,750.0,PLN,P96959
/NAmQtJKi1Y=,Statton,Francesca,CH83-1961-6YMP-HP4N-4J00-6,902.0,EUR,P92779
/NL8PgBu/n0=,Beningfield,Philippe,IS85-3085-3742-7569-5811-2191-80,533.0,IDR,P96811
/NYwc/QPoXk=,Kamen,Honor,LT45-5317-8220-8295-2923,136.0,CNY,P93676
/OKMcPyXTIE=,Plumtree,Flss,DO21-0VY7-5178-0863-9832-0743-3542,170.0,EUR,P92759
/Po5y7qu5hI=,Musto,Loraine,SK06-5711-5634-9383-4512-8225,89.67739644730727,ARS,P95249
/Q4MRBwtZi4=,Kiggel,Lidia,SK59-1437-0077-7681-0934-7417,67.31981196455695,CNY,P95120
/Q6y+y2AMmQ=,Sigert,Pansy,LB11-5747-BOAH-YM2R-IEFW-IWOX-DGZ8,274.0,IDR,P96664
/QRIz59aiz4=,Roll,Brice,FR65-6942-3741-338S-N83F-CZIG-P11,953.0,SEK,P90496
/QlAcXFk7zI=,Dressel,Tara,CH81-1335-7MPV-KEDB-ZNOA-S,503.0,NIO,P98173
